seller,name
Por NegociuN ,"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey"
,Thinkpad X1 Carbon 7th I7 8a 16gb 512gb Tela Touch Face Id Cinza (Recondicionado)
Por Asus ,Notebook Asus Vivobook S14 S3407va Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Tela 14 Led Fhd Silver - Ly043w
Por Asus ,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w"
Por Micro Livre ,Notebook Dell Latitude 3410 Core I7 10th 16gb 256gb Ssd Nvme Cor Cinza - Excelente (Recondicionado)
Por Asus ,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288"
Por Eshop ,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B"
Por Samsung ,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg"
,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado)
Por 2Eletro ,Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home
Por Mercado Livre ,"Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws"
Por Mega Mamute ,Notebook Vaio Fe15 15.6 Fhd I3-1215u 8gb Ssd 256gb W11 Cinza
Por Acer Brasil ,Notebook Acer Nitro V15 Anv15-52-96aq Intel® Core I9-13900h De 13° G 16gb 512gb Ssd Rtx4060 Windows 11 Home 15.6
