name,seller,reviews_rating,reviews_total,old_price,new_price,url
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,4.9,(673),7.000,5.039,https://www.mercadolivre.com.br/notebook-lenovo-loq-e-15iax9e-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-3050-windows-11-156-83me0007br-luna-grey/p/MLB46018205#polycard_client=search-nordic&wid=MLB5452592328&search_layout=grid&position=11&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Dell Inspiron I15-i3100-a15p Core 3 8gb 512gb W11 Preto,Por Dell ,5.0,(20),2.949,140,https://www.mercadolivre.com.br/notebook-dell-inspiron-i15-i3100-a15p-core-3-8gb-512gb-w11-preto/p/MLB52728444#polycard_client=search-nordic&wid=MLB5512463698&search_layout=grid&position=12&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Por Vikings ,4.8,(994),4.141,138,https://www.mercadolivre.com.br/notebook-acer-aspire-5-a515-45-r0xr-ryzen7-8gb-256gb-ssd-156-full-hd-linux-gutta/p/MLB44705562#polycard_client=search-nordic&wid=MLB5219607374&search_layout=grid&position=13&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",Por 123 Comprou ,4.6,(248),3.212,100,https://www.mercadolivre.com.br/notebook-positivo-vision-intel-core-i3-8gb-ram-256gb-ssd-tela-156-full-hd-linux-preto/p/MLB46219389#polycard_client=search-nordic&wid=MLB4012772069&search_layout=grid&position=14&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Acer Vero AV15-53P-72JT Intel Core i7 – 1355U 13ªG 16GB 512GB SSD W11 15.6”,Por Vikings ,4.6,(24),6.284,209,https://www.mercadolivre.com.br/notebook-acer-vero-av15-53p-72jt-intel-core-i7-1355u-13g-16gb-512gb-ssd-w11-156/p/MLB47193650#polycard_client=search-nordic&wid=MLB5530408698&search_layout=grid&position=15&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Por Vikings ,4.8,(221),8.998,200,https://www.mercadolivre.com.br/notebook-acer-gamer-nitro-v15-intel-core-i7-13-ger-32gb-512ssd-rtx3050-com-6gb-gddr6-nvidia-geforce-linux-gutta-anv15-51-73bp/p/MLB43532159#polycard_client=search-nordic&wid=MLB3914155765&search_layout=grid&position=16&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Por 123 Comprou ,4.7,(87),3.284,114,https://www.mercadolivre.com.br/notebook-positivo-vision-r15-lumina-bar-amd-ryzen-5-8gb-256gb-tela-15-polegadas-full-hd-antirreflexo-linux-preto/p/MLB43281003#polycard_client=search-nordic&wid=MLB4106593741&search_layout=grid&position=17&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Asus ,4.9,(814),3.199,130,https://www.mercadolivre.com.br/notebook-asus-vivobook-go-e1504ga-intel-core-i3-n305-8gb-ram-512gb-ssd-windows-11-tela-156-fhd-silver-nj435w/p/MLB34133582#polycard_client=search-nordic&wid=MLB4562943632&search_layout=grid&position=18&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws",Por Mercado Livre ,4.7,(1017),1.899,95,https://www.mercadolivre.com.br/notebook-asus-x515-intel-celeron-dual-core-n4500-4gb-ram-128gb-ssd-windows-11-home-tela-156-led-hd-slate-grey-br309ws/p/MLB42489369#polycard_client=search-nordic&wid=MLB5297157908&search_layout=grid&position=19&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1741",Por Asus ,4.9,(38),3.299,100,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-8gb-ram-512gb-ssd-linux-keepos-intel-iris-xe-tela-156-led-fhd-silver-nj1741/p/MLB50363568#polycard_client=search-nordic&wid=MLB4073075993&search_layout=grid&position=20&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
